2016-07-21,0.87
2016-07-22,0.86
DATE,T10Y2Y
2016-07-22,0.86
2016-07-25,0.86
DATE,T10Y2Y
2016-07-25,0.86
2016-07-26,0.82
DATE,T10Y2Y
2016-07-26,0.82
2016-07-27,0.79
DATE,T10Y2Y
2016-07-27,0.79
2016-07-28,0.80
DATE,T10Y2Y
2016-07-28,0.80
2016-07-29,0.79
DATE,T10Y2Y
2016-07-29,0.79
2016-08-01,0.84
DATE,T10Y2Y
2016-08-01,0.84
2016-08-02,0.88
DATE,T10Y2Y
2016-08-02,0.88
2016-08-03,0.88
DATE,T10Y2Y
2016-08-03,0.88
2016-08-04,0.87
DATE,T10Y2Y
2016-08-04,0.87
2016-08-05,0.87
DATE,T10Y2Y
2016-08-05,0.87
2016-08-08,0.85
DATE,T10Y2Y
2016-08-08,0.85
2016-08-09,0.84
DATE,T10Y2Y
2016-08-09,0.84
2016-08-10,0.81
DATE,T10Y2Y
2016-08-10,0.81
2016-08-11,0.81
DATE,T10Y2Y
2016-08-11,0.81
2016-08-12,0.80
DATE,T10Y2Y
2016-08-12,0.80
2016-08-15,0.83
DATE,T10Y2Y
2016-08-15,0.83
2016-08-16,0.81
DATE,T10Y2Y
2016-08-16,0.81
2016-08-17,0.82
DATE,T10Y2Y
2016-08-17,0.82
2016-08-18,0.82
DATE,T10Y2Y
2016-08-18,0.82
2016-08-19,0.82
DATE,T10Y2Y
2016-08-19,0.82
2016-08-22,0.79
DATE,T10Y2Y
2016-08-22,0.79
2016-08-23,0.81
DATE,T10Y2Y
2016-08-23,0.81
2016-08-24,0.80
DATE,T10Y2Y
2016-08-24,0.80
2016-08-25,0.80
DATE,T10Y2Y
2016-08-25,0.80
2016-08-26,0.78
DATE,T10Y2Y
2016-08-26,0.78
2016-08-29,0.76
DATE,T10Y2Y
2016-08-29,0.76
2016-08-30,0.77
DATE,T10Y2Y
2016-08-30,0.77
2016-08-31,0.78
DATE,T10Y2Y
2016-08-31,0.78
2016-09-01,0.79
DATE,T10Y2Y
2016-09-01,0.79
2016-09-02,0.80
DATE,T10Y2Y
2016-09-02,0.80
2016-09-05,.
2016-09-06,0.81
DATE,T10Y2Y
2016-09-06,0.81
2016-09-07,0.80
DATE,T10Y2Y
2016-09-07,0.80
2016-09-08,0.83
DATE,T10Y2Y
2016-09-08,0.83
2016-09-09,0.88
